G2B_목록번호,G2B_목록명,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,수량,승인상태,취득정리구분,운용부서코드,비고
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",2025-02-28,18007000,,공학대학RC행정팀(ERICA),취득,7,6,대기,자체구입,C352,Molestiae excepturi debitis similique dolores.
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",2021-09-16,1788000,2021-10-21,공학대학RC행정팀(ERICA),취득,6,1,확정,자체구입,C352,
4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",2025-11-27,167000,2026-01-24,공학대학RC행정팀(ERICA),취득,4,4,확정,자체구입,C352,
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",2026-01-17,5613000,,공학대학RC행정팀(ERICA),취득,6,3,대기,자체구입,C352,
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2017-08-25,5386000,2017-10-21,소프트웨어융합대학RC행정팀(ERICA),취득,6,7,확정,기증,C354,Ipsa minus et.
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2019-08-09,3439000,2019-08-16,학생지원팀(ERICA),취득,5,3,확정,자체구입,A320,
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2018-08-31,3367000,2018-09-02,경상대학RC행정팀(ERICA),취득,5,3,확정,자체구입,C364,
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2023-04-05,256000,2023-05-08,시설팀(ERICA),취득,5,1,확정,자체구입,A351,
4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",2023-09-17,119000,2023-09-20,글로벌문화통상대학RC행정팀(ERICA),취득,4,3,확정,자체구입,C360,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2018-04-03,745000,2018-04-05,글로벌문화통상대학RC행정팀(ERICA),취득,5,9,확정,자체구입,C360,
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",2022-06-22,890000,2022-06-24,학생지원팀(ERICA),취득,10,5,확정,자체구입,A320,
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",2025-10-03,9225000,2025-10-04,경상대학RC행정팀(ERICA),취득,10,49,확정,자체구입,C364,
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",2022-05-04,59000,2022-05-10,글로벌문화통상대학RC행정팀(ERICA),취득,5,1,확정,자체구입,C360,
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",2019-05-16,6773000,2019-05-20,공학대학RC행정팀(ERICA),취득,6,7,확정,자체구입,C352,
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",2021-09-26,2699000,2021-10-27,학생지원팀(ERICA),취득,8,4,확정,자체구입,A320,
5610170326113315,"책상, 신흥, SH-DEAGB11, 1180×780×600~1130mm, 1인용",2023-06-09,1601000,2023-06-10,시설팀(ERICA),취득,10,5,확정,자체구입,A351,
4322261025578661,"허브, Belkin, (US)INC002, 7port",2021-05-03,669000,2021-05-05,경상대학RC행정팀(ERICA),취득,5,8,확정,자체구입,C364,
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",2024-07-15,1520000,2024-07-21,시설팀(ERICA),취득,5,6,확정,자체구입,A351,
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",2020-06-21,2216000,2020-07-27,글로벌문화통상대학RC행정팀(ERICA),취득,6,3,확정,자체구입,C360,
4320200525605835,"플래시메모리저장장치, Sandisk, (CN)EXTREME PRO SDXC, 64GB",2022-06-16,175000,2022-08-06,글로벌문화통상대학RC행정팀(ERICA),취득,4,4,확정,자체구입,C360,
4411191126082440,"인터랙티브화이트보드, 보성전자, BSI-P24K, 59.94cm, 전자유도방식/전자펜/전자교탁형",2024-11-07,19560000,2025-01-02,소프트웨어융합대학RC행정팀(ERICA),취득,7,6,확정,자체구입,C354,
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",2017-06-21,5898000,2017-06-22,글로벌문화통상대학RC행정팀(ERICA),취득,5,5,확정,자체구입,C360,
