반납일자,반납확정일자,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,운용부서,물품상태,사유
2017-03-07,2017-03-10,badbergjr,박대리,확정,4321150323456782,고성능 데스크탑 (Workstation),M111500002,2015-05-21,8635000,경영대학,정비필요품,고장/파손
2018-08-31,2018-09-03,badbergjr,박대리,확정,4321150323456782,고성능 데스크탑 (Workstation),M111500003,2015-05-21,8635000,경영대학,중고품,잉여물품
2025-07-30,2025-08-02,badbergjr,박대리,확정,4321150723456783,행정용 데스크탑 (Standard),M112100005,2021-12-18,1130000,총무팀,중고품,불용결정
2025-03-30,2025-04-02,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M112200071,2022-03-06,2615000,경영대학,중고품,불용결정
2025-03-16,2025-03-19,badbergjr,박대리,확정,5611210223456788,매쉬 의자 (Standard),M112200082,2022-03-06,2615000,경영대학,중고품,잉여물품
2024-09-17,2024-09-20,badbergjr,박대리,확정,4321150323456782,고성능 데스크탑 (Workstation),M111700087,2017-10-06,15302000,총무팀,중고품,불용결정
2019-05-09,,badbergjr,박대리,대기,4321150323456782,고성능 데스크탑 (Workstation),M111700088,2017-10-06,15302000,총무팀,정비필요품,고장/파손
2025-01-05,2025-01-08,badbergjr,박대리,확정,4321150323456782,고성능 데스크탑 (Workstation),M111700090,2017-10-06,15302000,총무팀,중고품,사업종료
2022-07-22,2022-07-25,badbergjr,박대리,확정,4322261023456785,AI 연구용 GPU 서버,M111500091,2015-03-16,27713000,총무팀,폐품,사용연한경과
2025-08-06,2025-08-09,badbergjr,박대리,확정,4322261023456785,AI 연구용 GPU 서버,M111500092,2015-03-16,27713000,총무팀,폐품,사용연한경과
2019-10-16,2019-10-19,badbergjr,박대리,확정,4322261023456785,AI 연구용 GPU 서버,M111700097,2017-05-16,128336000,경영대학,폐품,사용연한경과
2025-05-08,2025-05-11,badbergjr,박대리,확정,4322261023456785,AI 연구용 GPU 서버,M111700098,2017-05-16,128336000,경영대학,중고품,사업종료
2019-02-26,2019-03-01,badbergjr,박대리,확정,4322261023456785,AI 연구용 GPU 서버,M111700099,2017-05-16,128336000,경영대학,폐품,사용연한경과
2019-10-23,2019-10-26,badbergjr,박대리,확정,4322261023456785,AI 연구용 GPU 서버,M111700101,2017-05-16,128336000,경영대학,폐품,사용연한경과
