불용일자,불용확정일자,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,정리일자,운용부서,물품상태,사유
2021-10-21,,hyl0610,황팀장,대기,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201700006,2017-08-25,5386000,2017-10-21,,정비필요품,수리비용과다
2021-02-13,2021-02-20,hyl0610,황팀장,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201700007,2017-08-25,5386000,2017-10-21,,정비필요품,수리비용과다
2024-08-07,2024-08-14,hyl0610,황팀장,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201700009,2017-08-25,5386000,2017-10-21,,폐품,내구연한 경과
2025-11-05,2025-11-12,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201900013,2019-08-09,3439000,2019-08-16,,중고품,구형화
2025-10-13,2025-10-20,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201900014,2019-08-09,3439000,2019-08-16,,정비필요품,수리비용과다
2022-05-01,2022-05-08,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201900015,2019-08-09,3439000,2019-08-16,,중고품,구형화
2025-01-29,2025-02-05,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201800017,2018-08-31,3367000,2018-09-02,,폐품,내구연한 경과
2020-12-12,,hyl0610,황팀장,대기,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201800024,2018-04-03,745000,2018-04-05,,중고품,구형화
2024-03-01,2024-03-08,hyl0610,황팀장,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201800025,2018-04-03,745000,2018-04-05,,중고품,구형화
2023-05-12,,hyl0610,황팀장,대기,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201800026,2018-04-03,745000,2018-04-05,,신품,활용부서 부재
2020-02-05,,hyl0610,황팀장,대기,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201800027,2018-04-03,745000,2018-04-05,,정비필요품,수리비용과다
2025-05-21,,hyl0610,황팀장,대기,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201800028,2018-04-03,745000,2018-04-05,,중고품,구형화
2024-01-10,,hyl0610,황팀장,대기,4322261025578661,"허브, Belkin, (US)INC002, 7port",M201800030,2018-04-03,745000,2018-04-05,,폐품,내구연한 경과
2024-07-14,2024-07-21,hyl0610,황팀장,확정,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202200033,2022-06-22,890000,2022-06-24,,정비필요품,수리비용과다
2025-01-24,,hyl0610,황팀장,대기,5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202200034,2022-06-22,890000,2022-06-24,,폐품,내구연한 경과
2026-03-19,2026-03-26,hyl0610,황팀장,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201900087,2019-05-16,6773000,2019-05-20,,폐품,내구연한 경과
2025-02-26,2025-03-05,hyl0610,황팀장,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201900088,2019-05-16,6773000,2019-05-20,,정비필요품,수리비용과다
2025-09-15,2025-09-22,hyl0610,황팀장,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201900089,2019-05-16,6773000,2019-05-20,,중고품,구형화
2022-09-18,,hyl0610,황팀장,반려,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201900090,2019-05-16,6773000,2019-05-20,,중고품,구형화
2023-01-28,2023-02-04,hyl0610,황팀장,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201900092,2019-05-16,6773000,2019-05-20,,중고품,활용부서부재
2026-01-17,2026-01-24,hyl0610,황팀장,확정,4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201900093,2019-05-16,6773000,2019-05-20,,중고품,구형화
2023-08-31,,hyl0610,황팀장,반려,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M202100096,2021-09-26,2699000,2021-10-27,,폐품,내구연한 경과
2022-07-06,2022-07-13,hyl0610,황팀장,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202100103,2021-05-03,669000,2021-05-05,,폐품,내구연한 경과
2025-05-24,2025-05-31,hyl0610,황팀장,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202100104,2021-05-03,669000,2021-05-05,,폐품,내구연한 경과
2024-04-22,,hyl0610,황팀장,대기,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202100106,2021-05-03,669000,2021-05-05,,중고품,활용부서부재
2026-05-12,,hyl0610,황팀장,대기,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202100107,2021-05-03,669000,2021-05-05,,폐품,내구연한 경과
2023-10-25,2023-11-01,hyl0610,황팀장,확정,4322261025578661,"허브, Belkin, (US)INC002, 7port",M202100110,2021-05-03,669000,2021-05-05,,정비필요품,수리비용과다
2023-06-05,,hyl0610,황팀장,대기,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M202000117,2020-06-21,2216000,2020-07-27,,폐품,내구연한 경과
2022-08-10,2022-08-17,hyl0610,황팀장,확정,4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M202000119,2020-06-21,2216000,2020-07-27,,정비필요품,수리비용과다
2019-06-18,2019-06-25,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201700130,2017-06-21,5898000,2017-06-22,,중고품,구형화
2019-04-17,2019-04-24,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201700131,2017-06-21,5898000,2017-06-22,,폐품,내구연한 경과
2024-05-09,2024-05-16,hyl0610,황팀장,확정,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201700133,2017-06-21,5898000,2017-06-22,,폐품,내구연한 경과
2022-11-28,,hyl0610,황팀장,대기,4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201700134,2017-06-21,5898000,2017-06-22,,폐품,내구연한 경과
2022-01-26,,hyl0610,황팀장,대기,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201600137,2016-03-01,1528000,2016-03-03,,중고품,구형화
2017-05-29,,hyl0610,황팀장,대기,4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201600138,2016-03-01,1528000,2016-03-03,,중고품,활용부서부재
2021-01-13,2021-01-20,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201600143,2016-02-22,3314000,2016-03-28,,정비필요품,수리비용과다
2018-05-06,2018-05-13,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201600144,2016-02-22,3314000,2016-03-28,,폐품,내구연한 경과
2020-08-25,,hyl0610,황팀장,대기,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201600145,2016-02-22,3314000,2016-03-28,,중고품,구형화
2026-03-11,2026-03-18,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201600156,2016-06-11,5803000,2016-07-30,,중고품,구형화
2018-03-24,2018-03-31,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201600158,2016-06-11,5803000,2016-07-30,,정비필요품,수리비용과다
2018-12-07,2018-12-14,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201600162,2016-06-11,5803000,2016-07-30,,폐품,내구연한 경과
2020-08-14,2020-08-21,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201600163,2016-06-11,5803000,2016-07-30,,폐품,내구연한 경과
2021-08-18,2021-08-25,hyl0610,황팀장,확정,4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201600164,2016-06-11,5803000,2016-07-30,,정비필요품,수리비용과다
