처분일자,정리구분,등록자ID,등록자명,승인상태,G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,처분방식,물품상태,사유
2019-01-14,매각,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111500003,2015-05-21,8635000,매각,중고품,활용가능성 없음
2025-11-28,매각,hyl0610,황팀장,확정,4321150723456783,행정용 데스크탑 (Standard),M112100005,2021-12-18,1130000,매각,중고품,불용결정
2025-07-29,매각,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M112200071,2022-03-06,2615000,매각,중고품,불용결정
2025-07-01,매각,hyl0610,황팀장,확정,5611210223456788,매쉬 의자 (Standard),M112200082,2022-03-06,2615000,매각,중고품,활용가능성 없음
2024-12-21,매각,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111700087,2017-10-06,15302000,매각,중고품,불용결정
2025-04-12,매각,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111700090,2017-10-06,15302000,매각,중고품,사업종료
2025-10-16,폐기,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111500092,2015-03-16,27713000,폐기,폐품,사용연한경과
2020-06-16,폐기,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111700097,2017-05-16,128336000,폐기,폐품,사용연한경과
2025-10-02,매각,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111700098,2017-05-16,128336000,매각,중고품,사업종료
2019-08-30,폐기,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111700099,2017-05-16,128336000,폐기,폐품,사용연한경과
2020-02-28,폐기,hyl0610,황팀장,확정,4322261023456785,AI 연구용 GPU 서버,M111700101,2017-05-16,128336000,폐기,폐품,사용연한경과
2021-08-18,폐기,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111800104,2018-12-13,11924000,폐기,폐품,사용연한경과
2024-11-03,매각,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111800105,2018-12-13,11924000,매각,중고품,불용결정
2025-10-03,매각,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111800164,2018-11-11,17883000,매각,중고품,불용결정
2021-12-28,폐기,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111800165,2018-11-11,17883000,폐기,폐품,사용연한경과
2023-01-06,폐기,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111800167,2018-11-11,17883000,폐기,폐품,사용연한경과
2024-09-05,폐기,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111800168,2018-11-11,17883000,폐기,정비필요품,고장/파손
2024-11-20,폐기,hyl0610,황팀장,확정,4321150323456782,고성능 데스크탑 (Workstation),M111800171,2018-11-11,17883000,폐기,폐품,사용연한경과
2024-06-26,매각,hyl0610,황팀장,확정,4321150723456783,행정용 데스크탑 (Standard),M111900173,2019-07-03,4474000,매각,중고품,사업종료
2019-05-14,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111500180,2015-10-02,6952000,매각,중고품,불용결정
2025-09-04,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111500185,2015-10-02,6952000,폐기,폐품,사용연한경과
2021-02-20,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111500190,2015-10-02,6952000,폐기,폐품,사용연한경과
2024-10-19,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111500192,2015-10-02,6952000,폐기,폐품,사용연한경과
2017-11-25,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111500196,2015-10-02,6952000,매각,중고품,불용결정
2023-04-15,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111500197,2015-10-02,6952000,매각,중고품,불용결정
2024-05-21,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111500201,2015-10-02,6952000,폐기,정비필요품,고장/파손
2017-06-09,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111500202,2015-10-02,6952000,폐기,폐품,사용연한경과
2018-06-22,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111500204,2015-10-02,6952000,폐기,정비필요품,고장/파손
2021-07-05,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111500205,2015-10-02,6952000,폐기,폐품,사용연한경과
2021-04-01,폐기,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111500207,2015-10-02,6952000,폐기,정비필요품,고장/파손
2025-02-25,매각,hyl0610,황팀장,확정,5610151923456789,강의실 2인용 책상,M111500208,2015-10-02,6952000,매각,중고품,사업종료
