G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,처분방식,물품상태,사유,정리일자,불용일자,내용연수
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201700007,2017-08-25,5386000,폐기,정비필요품,수리비용과다,2017-10-21,2021-02-20,6
4320180326048280,"하드디스크드라이브, Lenovo, (CN)4XB7A88027, 22TB",M201700009,2017-08-25,5386000,폐기,폐품,내구연한 경과,2017-10-21,2024-08-14,6
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201900013,2019-08-09,3439000,매각,중고품,구형화,2019-08-16,2025-11-12,5
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201900014,2019-08-09,3439000,폐기,정비필요품,수리비용과다,2019-08-16,2025-10-20,5
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201900015,2019-08-09,3439000,폐기,중고품,구형화,2019-08-16,2022-05-08,5
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M201800017,2018-08-31,3367000,폐기,폐품,내구연한 경과,2018-09-02,2025-02-05,5
4322261025578661,"허브, Belkin, (US)INC002, 7port",M201800025,2018-04-03,745000,매각,중고품,구형화,2018-04-05,2024-03-08,5
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202200033,2022-06-22,890000,폐기,정비필요품,수리비용과다,2022-06-24,2024-07-21,10
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201900088,2019-05-16,6773000,폐기,정비필요품,수리비용과다,2019-05-20,2025-03-05,6
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201900089,2019-05-16,6773000,매각,중고품,구형화,2019-05-20,2025-09-22,6
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201900092,2019-05-16,6773000,매각,중고품,활용부서부재,2019-05-20,2023-02-04,6
4322261025578661,"허브, Belkin, (US)INC002, 7port",M202100103,2021-05-03,669000,도난,폐품,내구연한 경과,2021-05-05,2022-07-13,5
