iter	Passed	Remaining
0	2	1196
1	4	1107
2	6	1089
3	8	1074
4	10	1052
5	12	1048
6	14	1047
7	16	1042
8	19	1040
9	21	1036
10	23	1027
11	25	1022
12	27	1018
13	29	1022
14	31	1024
15	33	1023
16	36	1024
17	38	1022
18	40	1017
19	42	1016
20	44	1014
21	46	1015
22	49	1017
23	51	1016
24	53	1016
25	55	1017
26	57	1014
27	59	1004
28	61	997
29	63	993
30	65	987
31	66	979
32	68	974
33	71	973
34	72	966
35	74	959
36	76	956
37	78	955
38	80	946
39	81	940
40	83	935
41	85	928
42	86	921
43	88	914
44	90	910
45	92	909
46	94	907
47	95	903
48	97	901
49	99	897
50	101	892
51	103	887
52	104	883
53	106	879
54	108	877
55	110	873
56	112	872
57	114	872
58	117	874
59	119	875
60	121	874
61	123	874
62	124	866
63	127	865
64	129	866
65	131	866
66	133	864
67	135	862
68	137	857
69	139	855
70	141	852
71	143	850
72	144	847
73	146	843
74	148	839
75	149	836
76	151	832
77	153	829
78	155	828
79	157	827
80	159	825
81	161	822
82	163	820
83	165	817
84	166	813
85	168	811
86	170	808
87	172	809
88	175	809
89	177	807
90	178	804
91	180	798
92	182	798
93	184	797
94	187	797
95	188	793
96	190	790
97	192	788
98	193	784
99	195	782
100	197	779
101	199	777
102	201	776
103	204	778
104	206	777
105	208	776
106	211	776
107	213	775
108	215	773
109	217	770
110	219	768
111	221	765
112	222	762
113	224	760
114	225	756
115	227	753
116	229	751
117	231	748
118	233	746
119	234	743
120	236	742
121	239	741
122	241	739
123	243	737
124	244	734
125	246	731
126	248	730
127	250	728
128	253	728
129	255	727
130	257	725
131	259	724
132	262	724
133	265	723
134	266	721
135	268	719
136	271	718
137	273	716
138	275	715
139	277	714
140	279	712
141	282	711
142	284	710
143	286	708
144	288	705
145	290	704
146	292	702
147	295	701
148	297	699
149	299	697
150	301	696
151	303	694
152	305	692
153	308	692
154	310	691
155	312	689
156	314	686
157	316	684
158	317	681
159	319	678
160	320	675
161	321	670
162	323	668
163	325	666
164	327	664
165	329	663
166	332	662
167	334	661
168	336	658
169	338	656
170	340	655
171	342	652
172	344	650
173	346	649
174	348	647
175	351	646
176	353	645
177	356	644
178	358	642
179	359	639
180	361	636
181	363	634
182	364	632
183	366	629
184	368	626
185	370	624
186	371	622
187	373	620
188	375	618
189	377	615
190	379	613
191	381	611
192	382	609
193	384	606
194	386	604
195	388	602
196	390	600
197	392	598
198	394	595
199	395	593
200	397	591
201	399	589
202	401	586
203	403	585
204	405	583
205	407	581
206	409	579
207	411	577
208	412	574
209	414	572
210	415	569
211	417	567
