event_month,actual_count,month,year,trend
2006-04-01,1,4,2006,0
2006-05-01,0,5,2006,1
2006-06-01,0,6,2006,2
2006-07-01,0,7,2006,3
2006-08-01,5,8,2006,4
2006-09-01,0,9,2006,5
2006-10-01,0,10,2006,6
2006-11-01,0,11,2006,7
2006-12-01,4,12,2006,8
2007-01-01,0,1,2007,9
2007-02-01,3,2,2007,10
2007-03-01,0,3,2007,11
2007-04-01,0,4,2007,12
2007-05-01,0,5,2007,13
2007-06-01,0,6,2007,14
2007-07-01,0,7,2007,15
2007-08-01,16,8,2007,16
2007-09-01,0,9,2007,17
2007-10-01,1,10,2007,18
2007-11-01,0,11,2007,19
2007-12-01,25,12,2007,20
2008-01-01,3,1,2008,21
2008-02-01,20,2,2008,22
2008-03-01,0,3,2008,23
2008-04-01,0,4,2008,24
2008-05-01,0,5,2008,25
2008-06-01,1,6,2008,26
2008-07-01,0,7,2008,27
2008-08-01,46,8,2008,28
2008-09-01,0,9,2008,29
2008-10-01,2,10,2008,30
2008-11-01,2,11,2008,31
2008-12-01,40,12,2008,32
2009-01-01,0,1,2009,33
2009-02-01,31,2,2009,34
2009-03-01,6,3,2009,35
2009-04-01,0,4,2009,36
2009-05-01,0,5,2009,37
2009-06-01,1,6,2009,38
2009-07-01,0,7,2009,39
2009-08-01,81,8,2009,40
2009-09-01,4,9,2009,41
2009-10-01,3,10,2009,42
2009-11-01,2,11,2009,43
2009-12-01,74,12,2009,44
2010-01-01,4,1,2010,45
2010-02-01,44,2,2010,46
2010-03-01,6,3,2010,47
2010-04-01,1,4,2010,48
2010-05-01,1,5,2010,49
2010-06-01,1,6,2010,50
2010-07-01,0,7,2010,51
2010-08-01,93,8,2010,52
2010-09-01,8,9,2010,53
2010-10-01,2,10,2010,54
2010-11-01,2,11,2010,55
2010-12-01,85,12,2010,56
2011-01-01,2,1,2011,57
2011-02-01,75,2,2011,58
2011-03-01,2,3,2011,59
2011-04-01,2,4,2011,60
2011-05-01,3,5,2011,61
2011-06-01,3,6,2011,62
2011-07-01,0,7,2011,63
2011-08-01,157,8,2011,64
2011-09-01,9,9,2011,65
2011-10-01,1,10,2011,66
2011-11-01,3,11,2011,67
2011-12-01,101,12,2011,68
2012-01-01,1,1,2012,69
2012-02-01,70,2,2012,70
2012-03-01,4,3,2012,71
2012-04-01,2,4,2012,72
2012-05-01,0,5,2012,73
2012-06-01,2,6,2012,74
2012-07-01,1,7,2012,75
2012-08-01,138,8,2012,76
2012-09-01,9,9,2012,77
2012-10-01,4,10,2012,78
2012-11-01,2,11,2012,79
2012-12-01,119,12,2012,80
2013-01-01,3,1,2013,81
2013-02-01,84,2,2013,82
2013-03-01,9,3,2013,83
2013-04-01,2,4,2013,84
2013-05-01,3,5,2013,85
2013-06-01,0,6,2013,86
2013-07-01,5,7,2013,87
2013-08-01,133,8,2013,88
2013-09-01,10,9,2013,89
2013-10-01,1,10,2013,90
2013-11-01,2,11,2013,91
2013-12-01,114,12,2013,92
2014-01-01,3,1,2014,93
2014-02-01,90,2,2014,94
2014-03-01,7,3,2014,95
2014-04-01,3,4,2014,96
2014-05-01,4,5,2014,97
2014-06-01,4,6,2014,98
2014-07-01,3,7,2014,99
2014-08-01,172,8,2014,100
2014-09-01,13,9,2014,101
2014-10-01,5,10,2014,102
2014-11-01,0,11,2014,103
2014-12-01,140,12,2014,104
2015-01-01,4,1,2015,105
2015-02-01,91,2,2015,106
2015-03-01,9,3,2015,107
2015-04-01,4,4,2015,108
2015-05-01,3,5,2015,109
2015-06-01,6,6,2015,110
2015-07-01,4,7,2015,111
2015-08-01,177,8,2015,112
2015-09-01,9,9,2015,113
2015-10-01,1,10,2015,114
2015-11-01,7,11,2015,115
2015-12-01,134,12,2015,116
2016-01-01,8,1,2016,117
2016-02-01,93,2,2016,118
2016-03-01,9,3,2016,119
2016-04-01,5,4,2016,120
2016-05-01,2,5,2016,121
2016-06-01,6,6,2016,122
2016-07-01,4,7,2016,123
2016-08-01,182,8,2016,124
2016-09-01,7,9,2016,125
2016-10-01,4,10,2016,126
2016-11-01,4,11,2016,127
2016-12-01,127,12,2016,128
2017-01-01,8,1,2017,129
2017-02-01,83,2,2017,130
2017-03-01,6,3,2017,131
2017-04-01,2,4,2017,132
2017-05-01,2,5,2017,133
2017-06-01,2,6,2017,134
2017-07-01,7,7,2017,135
2017-08-01,193,8,2017,136
2017-09-01,12,9,2017,137
2017-10-01,3,10,2017,138
2017-11-01,3,11,2017,139
2017-12-01,152,12,2017,140
2018-01-01,5,1,2018,141
2018-02-01,95,2,2018,142
2018-03-01,7,3,2018,143
2018-04-01,0,4,2018,144
2018-05-01,5,5,2018,145
2018-06-01,0,6,2018,146
2018-07-01,4,7,2018,147
2018-08-01,171,8,2018,148
2018-09-01,8,9,2018,149
2018-10-01,2,10,2018,150
2018-11-01,4,11,2018,151
2018-12-01,140,12,2018,152
2019-01-01,4,1,2019,153
2019-02-01,91,2,2019,154
2019-03-01,5,3,2019,155
