iter	RMSE
0	36.35065396
1	35.34456137
2	34.36565535
3	33.42587568
4	32.4800875
5	31.613738
6	30.76283066
7	29.91095813
8	29.08863321
9	28.29334681
10	27.52969279
11	26.78952005
12	26.05581207
13	25.34209222
14	24.68735608
15	24.02283066
16	23.38898643
17	22.75701678
18	22.20491506
19	21.64101222
20	21.07478855
21	20.52054121
22	20.01437862
23	19.50870382
24	19.02126409
25	18.54456549
26	18.07527842
27	17.61147677
28	17.17757303
29	16.75784316
30	16.35341122
31	15.97060308
32	15.58322303
33	15.21508534
34	14.85255757
35	14.51540358
36	14.19897768
37	13.87358158
38	13.55250181
39	13.25292495
40	12.95802273
41	12.66292215
42	12.39078394
43	12.12027824
44	11.86836017
45	11.62150524
46	11.3812581
47	11.14662447
48	10.90263047
49	10.67384944
50	10.47740201
51	10.27929811
52	10.07438055
53	9.877598914
54	9.698802758
55	9.522998415
56	9.35407574
57	9.172594807
58	8.99971243
59	8.850035255
60	8.700425376
61	8.563022517
62	8.434995422
63	8.289543865
64	8.164702534
65	8.042872261
66	7.917489592
67	7.801506232
68	7.686875664
69	7.571512686
70	7.477849685
71	7.379161476
72	7.293149142
73	7.201972949
74	7.117487721
75	7.033749745
76	6.95149566
77	6.876387404
78	6.794967321
79	6.733289847
80	6.662971246
81	6.598014761
82	6.530853876
83	6.479154213
84	6.419207629
85	6.373275596
86	6.309275315
87	6.26010381
88	6.207957517
89	6.163787658
90	6.127850904
91	6.082994224
92	6.042115505
93	5.992919773
94	5.941907172
95	5.908921348
96	5.873743637
97	5.83926618
98	5.807951063
99	5.777776827
100	5.744457541
101	5.717662871
102	5.68462969
103	5.657856807
104	5.621625763
105	5.594966399
106	5.568133207
107	5.537659965
108	5.515015256
109	5.488716933
110	5.460445788
111	5.439039482
112	5.407789684
113	5.391816534
114	5.372939282
115	5.35154124
116	5.340687672
117	5.323925884
118	5.304520742
119	5.289399314
120	5.274285796
121	5.253485831
122	5.239279488
123	5.228794917
124	5.211948174
125	5.200235249
126	5.193199058
127	5.174641928
128	5.16282715
129	5.153335243
130	5.137845248
131	5.128578346
132	5.117659537
133	5.107917483
134	5.103060859
135	5.100253878
136	5.082783982
137	5.078447553
138	5.073957005
139	5.069299013
140	5.054180595
141	5.049982505
142	5.03338506
143	5.018974803
144	5.006823788
145	4.998313132
146	4.988921715
147	4.978573311
148	4.969395369
149	4.962641042
150	4.948026236
151	4.939713887
152	4.933533794
153	4.925885106
154	4.919185979
155	4.915342842
156	4.908411783
157	4.903780183
158	4.891705973
159	4.886027543
160	4.879501384
161	4.874338283
162	4.869721135
163	4.865565807
164	4.855077553
165	4.850908043
166	4.846532878
167	4.842049352
168	4.837698827
169	4.830111488
170	4.823890201
171	4.81577633
172	4.808782184
173	4.805762411
174	4.798661107
175	4.795037546
176	4.790840001
177	4.788933739
178	4.787225732
179	4.773268335
180	4.764947445
181	4.761288924
182	4.755920071
183	4.754263322
184	4.7537997
185	4.751019547
186	4.747363469
187	4.744471147
188	4.741053807
189	4.740009567
190	4.735672345
191	4.729638376
192	4.7280441
193	4.724959663
194	4.718338686
195	4.715451333
196	4.706687299
197	4.703676466
198	4.701295197
199	4.697142615
200	4.694488129
201	4.69082328
202	4.688410855
203	4.681881861
204	4.679389077
205	4.677251836
206	4.676997067
207	4.666376695
208	4.665429319
209	4.664333319
210	4.66210969
211	4.661855241
212	4.654515411
213	4.654329266
214	4.653450827
215	4.651250068
216	4.649989407
217	4.64816083
218	4.646159809
219	4.640368592
220	4.639463282
221	4.636800441
222	4.634769321
223	4.631802655
224	4.631634848
225	4.624740373
226	4.616231078
227	4.610226546
228	4.599494959
229	4.597310193
230	4.595964294
231	4.594215505
232	4.584131405
233	4.581496364
234	4.574995193
235	4.569368268
236	4.567055528
237	4.561252921
238	4.560325227
239	4.559030873
240	4.551809344
241	4.54976109
242	4.548545923
243	4.547864377
244	4.544922396
245	4.542556103
246	4.533009747
247	4.527295206
248	4.525478755
249	4.518301061
250	4.511423773
251	4.505441628
252	4.503909088
253	4.502163892
254	4.502006097
255	4.494276153
256	4.489035645
257	4.486781128
258	4.481092203
259	4.480391067
260	4.473469223
261	4.473038629
262	4.471777337
263	4.468776
264	4.459212846
265	4.451168518
266	4.446135878
267	4.44511717
268	4.443191815
269	4.440768452
270	4.439476774
271	4.438930156
272	4.433746268
273	4.43088206
274	4.430210418
275	4.425195143
276	4.42217348
277	4.411898316
278	4.409703235
279	4.399958351
280	4.39381621
281	4.391883788
282	4.38578827
283	4.381585553
284	4.378057696
285	4.371991151
286	4.369853236
287	4.360046035
288	4.351597863
289	4.350811019
290	4.347593324
291	4.341992287
292	4.336474904
293	4.335929824
294	4.334243397
295	4.332607482
296	4.33097236
297	4.321985439
298	4.319526994
299	4.31028988
300	4.309239554
301	4.304931583
302	4.300343467
303	4.296127726
304	4.293346298
305	4.291175092
306	4.290192615
307	4.281809498
308	4.272881491
309	4.272056196
310	4.263697682
311	4.26243713
312	4.261051245
313	4.256198693
314	4.248099225
315	4.243407602
316	4.236408709
317	4.229344653
318	4.223861404
319	4.219750736
320	4.218501071
321	4.216707035
322	4.214915001
323	4.213442361
324	4.210181068
325	4.208509407
326	4.207405992
327	4.205706406
328	4.202026731
329	4.201325712
330	4.199446661
331	4.198235556
332	4.197156519
333	4.195567669
334	4.190234488
335	4.182346253
336	4.181062495
337	4.17674276
338	4.169118234
339	4.167755321
340	4.163653033
341	4.156512744
342	4.149254028
343	4.144764106
344	4.143098359
345	4.14210276
346	4.135615507
347	4.131904359
348	4.124939412
349	4.120072444
350	4.11307172
351	4.111770888
352	4.105386356
353	4.103614536
354	4.097957004
355	4.096280304
356	4.090158808
357	4.088975577
358	4.087589262
359	4.084285953
360	4.083359991
361	4.0776215
362	4.071814242
363	4.065780805
364	4.060457112
365	4.059130324
366	4.05353447
367	4.051594879
368	4.045837363
369	4.044921486
370	4.039399778
371	4.038559504
372	4.037606987
373	4.035640943
374	4.034744018
375	4.031825147
376	4.026494474
377	4.024494879
378	4.022699261
379	4.020419138
380	4.019621064
381	4.014457353
382	4.013110627
383	4.011864648
384	4.011001723
385	4.009337587
386	4.008143514
387	4.006610541
388	4.001430134
389	4.000477178
390	3.995764378
391	3.994123781
392	3.992180736
393	3.990820351
394	3.985985977
395	3.984807194
396	3.983727984
397	3.981748394
398	3.980088836
399	3.978285629
400	3.975767364
401	3.972469037
402	3.968082575
403	3.963797676
404	3.961903149
405	3.95911479
406	3.957140956
407	3.953042804
408	3.951161124
409	3.947098928
410	3.942906956
411	3.942286678
412	3.941336709
413	3.940423262
414	3.939029324
415	3.938132858
416	3.936065936
417	3.934650477
418	3.93298008
419	3.932218705
420	3.931493885
421	3.926385234
422	3.924627958
423	3.923662643
424	3.922250898
425	3.91863188
426	3.917296649
427	3.914588143
428	3.913859475
429	3.913293193
430	3.909520448
431	3.906830136
432	3.906302441
433	3.902661559
434	3.901848938
435	3.898272033
436	3.89479001
437	3.89121314
438	3.888020693
439	3.887454641
440	3.885001566
441	3.883911588
442	3.882864332
443	3.879585649
444	3.877267445
445	3.874632293
446	3.873954345
447	3.873210969
448	3.868330183
449	3.867688811
450	3.866020744
451	3.86503234
452	3.861577287
453	3.860235359
454	3.858847779
455	3.855057122
456	3.851719414
457	3.848573183
458	3.845500985
459	3.841997097
460	3.841320596
461	3.840249581
462	3.838499695
463	3.837855376
464	3.836580756
465	3.835333032
466	3.833611749
467	3.832638915
468	3.832208322
469	3.831267479
470	3.830053347
471	3.829479391
472	3.827798396
473	3.826335442
474	3.825721239
475	3.825026972
476	3.822789958
477	3.822384543
478	3.821273693
479	3.820491654
480	3.817476398
481	3.816095646
482	3.815287876
483	3.814602347
484	3.811325625
485	3.810841557
486	3.807891716
487	3.805792134
488	3.804348185
489	3.801503067
490	3.800901358
491	3.798124733
492	3.797669065
493	3.796801387
494	3.795478526
495	3.794905257
496	3.794297507
497	3.791176505
498	3.789200615
499	3.785857685
