iter	Passed	Remaining
0	109	54708
1	115	28873
2	122	20350
3	131	16264
4	138	13705
5	144	11899
6	150	10621
7	157	9696
8	163	8932
9	168	8261
10	174	7765
11	181	7380
12	187	7029
13	194	6747
14	199	6444
15	204	6191
16	211	5997
17	216	5804
18	222	5644
19	228	5474
20	233	5321
21	240	5226
22	247	5129
23	254	5039
24	260	4947
25	266	4850
26	274	4804
27	282	4753
28	290	4712
29	297	4662
30	303	4585
31	309	4520
32	315	4468
33	322	4418
34	328	4364
35	334	4309
36	342	4286
37	348	4242
38	355	4206
39	362	4170
40	369	4133
41	375	4098
42	381	4058
43	387	4019
44	393	3980
45	400	3950
46	405	3911
47	411	3871
48	416	3837
49	421	3796
50	426	3757
51	432	3729
52	437	3690
53	442	3653
54	448	3626
55	454	3605
56	461	3587
57	466	3557
58	472	3529
59	478	3507
60	483	3481
61	488	3452
62	495	3440
63	500	3410
64	506	3386
65	513	3373
66	519	3359
67	526	3341
68	530	3313
69	535	3287
70	542	3276
71	547	3256
72	553	3235
73	559	3220
74	564	3199
75	569	3176
76	573	3149
77	579	3135
78	583	3107
79	588	3087
80	593	3068
81	597	3047
82	604	3035
83	610	3022
84	616	3007
85	621	2991
86	626	2974
87	634	2969
88	639	2952
89	643	2932
90	649	2918
91	654	2904
92	660	2890
93	666	2880
94	672	2867
95	678	2856
96	684	2844
97	689	2827
98	694	2811
99	699	2797
100	704	2784
101	710	2771
102	715	2759
103	721	2746
104	726	2732
105	731	2720
106	737	2709
107	743	2700
108	749	2689
109	755	2678
110	761	2669
111	766	2656
112	771	2643
113	776	2630
114	780	2612
115	785	2598
116	790	2586
117	794	2572
118	798	2558
119	803	2543
120	807	2529
121	812	2518
122	817	2506
123	822	2493
124	827	2481
125	831	2467
126	837	2460
127	843	2451
128	848	2440
129	853	2430
130	859	2421
131	864	2411
132	869	2400
133	875	2391
134	879	2378
135	884	2366
136	890	2359
137	895	2348
138	900	2338
139	906	2331
140	913	2324
141	919	2317
142	924	2307
143	929	2297
144	934	2289
145	940	2279
146	945	2271
147	951	2262
148	956	2252
149	960	2241
150	967	2235
151	972	2225
152	977	2215
153	982	2207
154	987	2197
155	992	2188
156	997	2178
157	1002	2169
158	1006	2159
159	1011	2150
160	1015	2139
161	1021	2130
162	1025	2120
163	1030	2110
164	1035	2103
165	1040	2094
166	1046	2086
167	1052	2079
168	1058	2073
169	1064	2067
170	1070	2059
171	1076	2052
172	1080	2043
173	1086	2035
174	1091	2027
175	1096	2018
176	1100	2008
177	1106	2000
178	1111	1992
179	1117	1986
180	1122	1978
181	1126	1968
182	1132	1960
183	1137	1953
184	1140	1941
185	1146	1935
186	1150	1926
187	1156	1919
188	1160	1909
189	1165	1901
190	1170	1893
191	1175	1886
192	1181	1878
193	1185	1870
194	1191	1863
195	1196	1855
196	1201	1847
197	1206	1839
198	1211	1831
199	1216	1825
200	1221	1817
201	1226	1809
202	1232	1802
203	1238	1797
204	1243	1789
205	1248	1781
206	1251	1771
207	1256	1763
208	1261	1756
209	1266	1749
210	1272	1742
211	1275	1732
212	1281	1726
213	1283	1715
214	1289	1708
215	1295	1702
216	1300	1695
217	1305	1688
218	1310	1681
219	1315	1674
220	1321	1667
221	1327	1662
222	1333	1656
223	1340	1651
224	1344	1643
225	1350	1637
226	1355	1630
227	1361	1624
228	1367	1618
229	1373	1612
230	1379	1606
231	1386	1601
232	1391	1594
233	1396	1586
234	1402	1581
235	1407	1574
236	1412	1567
237	1419	1563
238	1425	1556
239	1431	1550
240	1437	1544
241	1443	1538
242	1447	1531
243	1455	1526
244	1462	1521
245	1468	1516
246	1474	1510
247	1479	1503
248	1484	1496
249	1489	1489
250	1494	1482
251	1500	1476
252	1505	1469
253	1510	1462
254	1516	1457
255	1521	1450
256	1527	1444
257	1531	1436
258	1536	1429
259	1543	1424
260	1550	1419
261	1558	1415
262	1565	1410
263	1572	1405
264	1579	1401
265	1586	1396
266	1592	1390
267	1599	1384
268	1604	1377
269	1609	1370
270	1614	1364
271	1619	1357
272	1624	1350
273	1630	1345
274	1636	1338
275	1642	1333
276	1648	1327
277	1653	1320
278	1659	1314
279	1664	1307
280	1670	1301
281	1675	1295
282	1679	1288
283	1684	1281
284	1689	1274
285	1694	1268
286	1699	1261
287	1704	1254
288	1709	1247
289	1714	1241
290	1720	1235
291	1724	1228
292	1729	1222
293	1735	1215
294	1739	1208
295	1743	1201
296	1748	1195
297	1753	1188
298	1758	1181
299	1763	1175
300	1768	1169
301	1773	1162
302	1779	1157
303	1786	1151
304	1792	1146
305	1798	1140
306	1805	1135
307	1811	1129
308	1818	1123
309	1825	1118
310	1831	1113
311	1837	1107
312	1844	1101
313	1849	1095
314	1854	1089
315	1860	1083
316	1863	1075
317	1868	1069
318	1872	1062
319	1876	1055
320	1880	1048
321	1886	1042
322	1891	1036
323	1897	1030
324	1902	1024
325	1907	1018
326	1913	1012
327	1918	1006
328	1924	1000
329	1929	994
330	1934	987
331	1939	981
332	1943	974
333	1948	968
334	1953	962
335	1960	956
336	1966	951
337	1973	945
338	1980	940
339	1987	935
340	1993	929
341	2000	924
342	2007	918
343	2013	913
344	2020	907
345	2025	901
346	2032	896
347	2038	890
348	2045	885
349	2057	881
350	2063	875
351	2070	870
352	2078	865
353	2083	859
354	2090	853
355	2097	848
356	2103	842
357	2107	835
358	2113	830
359	2119	824
360	2123	817
361	2127	811
362	2133	805
363	2138	798
364	2144	793
365	2152	788
366	2158	782
367	2164	776
368	2169	770
369	2176	764
370	2182	758
371	2188	753
372	2197	748
373	2204	742
374	2210	736
375	2215	730
376	2221	724
377	2228	719
378	2234	713
379	2242	708
380	2249	702
381	2255	696
382	2261	690
383	2268	685
384	2274	679
385	2281	673
386	2286	667
387	2291	661
388	2297	655
389	2302	649
390	2305	642
391	2309	636
392	2314	630
393	2319	623
394	2323	617
395	2328	611
396	2333	605
397	2337	599
398	2342	592
399	2347	586
400	2352	580
401	2360	575
402	2368	569
403	2375	564
404	2382	558
405	2389	553
406	2396	547
407	2403	541
408	2408	535
409	2414	529
410	2419	523
411	2424	517
412	2428	511
413	2433	505
414	2438	499
415	2443	493
416	2448	487
417	2453	481
418	2457	475
419	2462	469
420	2467	463
421	2471	456
422	2476	450
423	2481	444
424	2486	438
425	2489	432
426	2494	426
427	2499	420
428	2504	414
429	2510	408
430	2516	402
431	2522	397
432	2529	391
433	2536	385
434	2543	380
435	2550	374
436	2557	368
437	2564	363
438	2575	357
439	2580	351
440	2584	345
441	2589	339
442	2594	333
443	2599	327
444	2604	321
445	2609	315
446	2613	309
447	2619	303
448	2623	298
449	2628	292
450	2633	286
451	2637	280
452	2642	274
453	2647	268
454	2651	262
455	2655	256
456	2660	250
457	2666	244
458	2671	238
459	2675	232
460	2678	226
461	2683	220
462	2688	214
463	2693	208
464	2698	203
465	2702	197
466	2706	191
467	2711	185
468	2718	179
469	2723	173
470	2728	168
471	2734	162
472	2741	156
473	2748	150
474	2755	145
475	2762	139
476	2766	133
477	2772	127
478	2779	121
