G2B_목록번호,G2B_목록명,물품고유번호,캠퍼스,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,출력상태,승인상태,취득정리구분,운용부서코드,구매배치ID,구매배치수량,대량구매여부,부서예산등급,부서교체성향,부서관리성향,월평균사용시간,주당사용일수,공용장비여부,수업사용여부,사용강도지수,비고,운용확정일자
4321150324343967,노트북컴퓨터,M200600720,ERICA,2006-04-05,935000,2006-04-23,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체제작,C354,B2006000001,14,1,HIGH,1.12,1.04,201.0,4.0,1.0,1.0,1.35,기초실험실 환경개선 기자재 확충,2006-04-23
4321150324343967,노트북컴퓨터,M200600721,ERICA,2006-04-05,935000,2006-04-23,소프트웨어융합대학RC행정팀(ERICA),운용,6,미출력,확정,자체제작,C354,B2006000001,14,1,HIGH,1.12,1.04,148.0,4.0,1.0,1.0,1.35,기초실험실 환경개선 기자재 확충,2006-04-23
4321150324343967,노트북컴퓨터,M200600722,ERICA,2006-04-05,935000,2006-04-23,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체제작,C354,B2006000001,14,1,HIGH,1.12,1.04,189.0,4.0,1.0,1.0,1.35,기초실험실 환경개선 기자재 확충,2006-04-23
4321150324343967,노트북컴퓨터,M200600723,ERICA,2006-04-05,935000,2006-04-23,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체제작,C354,B2006000001,14,1,HIGH,1.12,1.04,131.0,4.0,1.0,1.0,1.35,기초실험실 환경개선 기자재 확충,2006-04-23
4321150324343967,노트북컴퓨터,M200600724,ERICA,2006-04-05,935000,2006-04-23,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체제작,C354,B2006000001,14,1,HIGH,1.12,1.04,191.0,4.0,1.0,0.0,1.35,기초실험실 환경개선 기자재 확충,2006-04-23
4321150324343967,노트북컴퓨터,M200600725,ERICA,2006-04-05,935000,2006-04-23,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체제작,C354,B2006000001,14,1,HIGH,1.12,1.04,173.0,4.0,1.0,1.0,1.35,기초실험실 환경개선 기자재 확충,2006-04-23
4321150324343967,노트북컴퓨터,M200600726,ERICA,2006-04-05,935000,2006-04-23,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체제작,C354,B2006000001,14,1,HIGH,1.12,1.04,120.0,4.0,1.0,1.0,1.35,기초실험실 환경개선 기자재 확충,2006-04-23
4321150324343967,노트북컴퓨터,M200600727,ERICA,2006-04-05,935000,2006-04-23,소프트웨어융합대학RC행정팀(ERICA),운용,6,미출력,확정,자체제작,C354,B2006000001,14,1,HIGH,1.12,1.04,139.0,4.0,0.0,1.0,1.35,기초실험실 환경개선 기자재 확충,2006-04-23
4321150324343967,노트북컴퓨터,M200600728,ERICA,2006-04-05,935000,2006-04-23,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체제작,C354,B2006000001,14,1,HIGH,1.12,1.04,131.0,5.0,1.0,0.0,1.344,기초실험실 환경개선 기자재 확충,2006-04-23
4321150324343967,노트북컴퓨터,M200600729,ERICA,2006-04-05,935000,2006-04-23,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체제작,C354,B2006000001,14,1,HIGH,1.12,1.04,197.0,5.0,0.0,0.0,1.35,기초실험실 환경개선 기자재 확충,2006-04-23
4321150324343967,노트북컴퓨터,M200600730,ERICA,2006-04-05,935000,2006-04-23,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체제작,C354,B2006000001,14,1,HIGH,1.12,1.04,188.0,4.0,0.0,1.0,1.35,기초실험실 환경개선 기자재 확충,2006-04-23
4321150324343967,노트북컴퓨터,M200600731,ERICA,2006-04-05,935000,2006-04-23,소프트웨어융합대학RC행정팀(ERICA),운용,6,미출력,확정,자체제작,C354,B2006000001,14,1,HIGH,1.12,1.04,190.0,5.0,0.0,1.0,1.35,기초실험실 환경개선 기자재 확충,2006-04-23
4321150324343967,노트북컴퓨터,M200600732,ERICA,2006-04-05,935000,2006-04-23,소프트웨어융합대학RC행정팀(ERICA),처분,6,미출력,확정,자체제작,C354,B2006000001,14,1,HIGH,1.12,1.04,166.0,6.0,1.0,1.0,1.35,기초실험실 환경개선 기자재 확충,2006-04-23
4321150324343967,노트북컴퓨터,M200600733,ERICA,2006-04-05,935000,2006-04-23,소프트웨어융합대학RC행정팀(ERICA),운용,6,출력,확정,자체제작,C354,B2006000001,14,1,HIGH,1.12,1.04,204.0,4.0,0.0,0.0,1.35,기초실험실 환경개선 기자재 확충,2006-04-23
4321150324343967,노트북컴퓨터,M201300475,ERICA,2013-12-20,1001000,2014-01-05,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체구입,C354,B2013000002,14,1,HIGH,1.12,1.04,149.0,4.0,1.0,1.0,1.35,제1실습실 환경개선 기자재 확충,2014-01-05
4321150324343967,노트북컴퓨터,M201300476,ERICA,2013-12-20,1001000,2014-01-05,소프트웨어융합대학RC행정팀(ERICA),처분,6,출력,확정,자체구입,C354,B2013000002,14,1,HIGH,1.12,1.04,166.0,4.0,1.0,1.0,1.35,제1실습실 환경개선 기자재 확충,2014-01-05
4321150324343967,노트북컴퓨터,M201300477,ERICA,2013-12-20,1001000,2014-01-05,,반납,6,출력,확정,자체구입,C354,B2013000002,14,1,HIGH,1.12,1.04,154.0,6.0,0.0,1.0,1.35,제1실습실 환경개선 기자재 확충,2014-01-05
