물품고유번호,G2B목록명,물품분류명,운용부서코드,운용부서명,캠퍼스,취득일자,불용일자,처분방식,물품상태,불용사유,내용연수,취득금액,운용연차,잔여내용연수,부서가혹도,누적사용부하,고장임박도,가격민감도,장비중요도,리드타임등급,취득월,구매배치ID,구매배치수량,대량구매여부,동일배치자산수,동일배치운용연차평균,월평균사용시간,주당사용일수,공용장비여부,수업사용여부,사용강도지수,누적점검수리횟수,누적수리횟수,최근1년수리횟수,최근2년수리횟수,마지막수리후경과개월,누적수리비용,취득금액대비수리비율,최대장애심각도,교체권고횟수,취득학기구분,취득학기구분_Code,신학기준비월여부,예산집행월여부,방학기간여부,부서예산등급,부서예산등급_Code,부서교체성향,부서관리성향,G2B목록명_Code,물품분류명_Code,운용부서코드_Code,캠퍼스_Code,실제수명,학습데이터여부,데이터세트구분,서비스계수,실제잔여수명,예측잔여수명,(월별)고장예상수량,안전재고,(월별)필요수량,AI예측고장일,안전버퍼,권장발주일,예측실행일자
M200600720,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2006-04-05,2010-02-24,폐기,폐품,수리비용과다,6,935000,4.55,1.45,1.3,5.92,0.58,0.75,0.52,0,4,B2006000001,14,1,14,10.34,201,4,1,1,1.35,5,2,3,3,1.3,190000,0.203,3,0,1학기,1,0,0,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,4.55,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M200600721,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2006-04-05,2026-02-09,,,내용연수경과,6,935000,19.87,-13.87,1.3,25.83,1.0,0.75,0.52,0,4,B2006000001,14,1,14,10.34,148,4,1,1,1.35,12,9,0,2,12.3,350000,0.374,3,0,1학기,1,0,0,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,,N,Prediction,,,,0,0,0,,0.0,,2026-02-10
M200600722,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2006-04-05,2024-12-26,,,성능저하,6,935000,19.87,-13.87,1.3,25.83,1.0,0.75,0.52,0,4,B2006000001,14,1,14,10.34,189,4,1,1,1.35,12,11,0,1,17.5,371000,0.397,2,0,1학기,1,0,0,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,,N,Prediction,,,,0,0,0,,0.0,,2026-02-10
M200600723,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2006-04-05,2008-08-27,폐기,폐품,노후화,6,935000,2.93,3.07,1.3,3.81,0.24,0.75,0.52,0,4,B2006000001,14,1,14,10.34,131,4,1,1,1.35,2,1,1,2,10.3,49000,0.052,2,0,1학기,1,0,0,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,2.93,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M200600724,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2006-04-05,2007-08-24,폐기,폐품,내구연한 경과(노후화),6,935000,1.64,4.36,1.3,2.13,0.07,0.75,0.52,0,4,B2006000001,14,1,14,10.34,191,4,1,0,1.35,1,0,1,1,12.0,0,0.0,0,0,1학기,1,0,0,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,1.64,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M200600725,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2006-04-05,2009-08-25,폐기,폐품,고장/파손,6,935000,3.58,2.42,1.3,4.65,0.36,0.75,0.52,0,4,B2006000001,14,1,14,10.34,173,4,1,1,1.35,1,1,0,1,15.8,20000,0.021,1,0,1학기,1,0,0,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,3.58,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M200600726,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2006-04-05,2009-08-12,폐기,폐품,내용연수경과,6,935000,3.56,2.44,1.3,4.63,0.35,0.75,0.52,0,4,B2006000001,14,1,14,10.34,120,4,1,1,1.35,1,0,0,1,23.3,0,0.0,0,0,1학기,1,0,0,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,3.56,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
M200600727,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2006-04-05,2024-10-20,,,내구연한 경과(노후화),6,935000,19.87,-13.87,1.3,25.83,1.0,0.75,0.52,0,4,B2006000001,14,1,14,10.34,139,4,0,1,1.35,12,9,0,0,37.4,593000,0.634,3,2,1학기,1,0,0,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,,N,Prediction,,,,0,0,0,,0.0,,2026-02-10
M200600728,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2006-04-05,2008-02-25,,,내구연한 경과(노후화),6,935000,19.87,-13.87,1.3,25.83,1.0,0.75,0.52,0,4,B2006000001,14,1,14,10.34,131,5,1,0,1.344,1,1,0,0,229.7,20000,0.021,0,0,1학기,1,0,0,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,,N,Prediction,,,,0,0,0,,0.0,,2026-02-10
M200600729,노트북컴퓨터,노트북컴퓨터,C354,소프트웨어융합대학RC행정팀(ERICA),ERICA,2006-04-05,2008-08-20,폐기,폐품,성능저하,6,935000,2.55,3.45,1.3,3.32,0.18,0.75,0.52,0,4,B2006000001,14,1,14,10.34,197,5,0,0,1.35,3,1,0,1,15.2,67000,0.072,2,0,1학기,1,0,0,0,HIGH,2,1.12,1.04,3.9035811311609057,3.9035811311609057,5.7199446878875575,6.407624514674722,2.55,Y,Train,,0.0,,0,0,0,,0.0,,2026-02-10
