G2B_목록번호,G2B_목록명,캠퍼스,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,승인상태,취득정리구분,운용부서코드,비고,수량
4016160225676461,공기청정기,ERICA,2005-02-06,781000,2005-02-11,소프트웨어융합대학RC행정팀(ERICA),처분,9,확정,자체구입,C354,,1
4016160225676461,공기청정기,ERICA,2005-04-17,750000,2005-04-21,소프트웨어융합대학RC행정팀(ERICA),처분,9,확정,자체구입,C354,,1
4016160225676461,공기청정기,ERICA,2005-05-16,774000,2005-05-22,경상대학RC행정팀(ERICA),처분,9,확정,자체구입,C364,,1
4016160225676461,공기청정기,ERICA,2005-05-18,793000,2005-05-24,학생지원팀(ERICA),처분,9,확정,자체구입,A320,,1
4016160225676461,공기청정기,ERICA,2005-08-28,773000,2005-09-03,글로벌문화통상대학RC행정팀(ERICA),운용,9,확정,자체구입,C360,,1
4016160225676461,공기청정기,ERICA,2006-05-09,793000,2006-05-14,소프트웨어융합대학RC행정팀(ERICA),운용,9,확정,자체구입,C354,,1
4016160225676461,공기청정기,ERICA,2006-08-28,738000,2006-09-03,학생지원팀(ERICA),처분,9,확정,자체구입,A320,,1
4016160225676461,공기청정기,ERICA,2006-12-18,734000,2006-12-22,소프트웨어융합대학RC행정팀(ERICA),처분,9,확정,자체구입,C354,,1
4016160225676461,공기청정기,ERICA,2007-01-21,792000,2007-01-26,글로벌문화통상대학RC행정팀(ERICA),처분,9,확정,자체구입,C360,,1
4016160225676461,공기청정기,ERICA,2007-02-18,726000,2007-02-24,소프트웨어융합대학RC행정팀(ERICA),운용,9,확정,자체구입,C354,강의실 미세먼지 관리,1
4016160225676461,공기청정기,ERICA,2007-03-25,794000,2007-04-01,시설팀(ERICA),처분,9,확정,자체구입,A351,,1
4016160225676461,공기청정기,ERICA,2007-09-15,771000,2007-09-21,공학대학RC행정팀(ERICA),운용,9,확정,자체구입,C352,사무실 환경 개선,1
4016160225676461,공기청정기,ERICA,2007-12-16,733000,2007-12-20,시설팀(ERICA),운용,9,확정,자체구입,A351,,1
4016160225676461,공기청정기,ERICA,2008-01-07,781000,2008-01-10,시설팀(ERICA),처분,9,확정,자체구입,A351,,1
4016160225676461,공기청정기,ERICA,2008-03-10,735000,2008-03-16,공학대학RC행정팀(ERICA),처분,9,확정,자체구입,C352,강의실 미세먼지 관리,1
