G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,운용부서,물품상태,사유
4322260926066170,"라우터, Netgear, (US)PR60X",M202000001,2020-07-22,3022000,경상대학RC행정팀(ERICA),폐품,사용연한경과
4322260926066170,"라우터, Netgear, (US)PR60X",M202000002,2020-07-22,3022000,경상대학RC행정팀(ERICA),정비필요품,고장/파손
4322260926066170,"라우터, Netgear, (US)PR60X",M202000003,2020-07-22,3022000,경상대학RC행정팀(ERICA),폐품,사용연한경과
4322260926066170,"라우터, Netgear, (US)PR60X",M202000004,2020-07-22,3022000,경상대학RC행정팀(ERICA),중고품,불용결정
4322260926066170,"라우터, Netgear, (US)PR60X",M202000005,2020-07-22,3022000,경상대학RC행정팀(ERICA),중고품,불용결정
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500015,2015-03-06,14322000,시설팀(ERICA),중고품,불용결정
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500016,2015-03-06,14322000,시설팀(ERICA),정비필요품,고장/파손
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500017,2015-03-06,14322000,시설팀(ERICA),폐품,사용연한경과
4321150326103121,"노트북컴퓨터, Asus, (CN)B3605CCA-CP0004X, Intel Core Ultra 7 255H(2GHz), 액세사리별도",M201500019,2015-03-06,14322000,시설팀(ERICA),폐품,사용연한경과
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202200029,2022-12-15,5966000,공학대학RC행정팀(ERICA),정비필요품,고장/파손
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000041,2020-12-12,7571000,시설팀(ERICA),폐품,사용연한경과
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000044,2020-12-12,7571000,시설팀(ERICA),폐품,사용연한경과
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000045,2020-12-12,7571000,시설팀(ERICA),폐품,사용연한경과
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000047,2020-12-12,7571000,시설팀(ERICA),폐품,사용연한경과
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000049,2020-12-12,7571000,시설팀(ERICA),정비필요품,고장/파손
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000050,2020-12-12,7571000,시설팀(ERICA),폐품,사용연한경과
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000053,2020-12-12,7571000,시설팀(ERICA),정비필요품,고장/파손
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000055,2020-12-12,7571000,시설팀(ERICA),신품,잉여물품
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000060,2020-12-12,7571000,시설팀(ERICA),신품,잉여물품
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000064,2020-12-12,7571000,시설팀(ERICA),중고품,사업종료
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000066,2020-12-12,7571000,시설팀(ERICA),폐품,사용연한경과
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000068,2020-12-12,7571000,시설팀(ERICA),폐품,사용연한경과
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000069,2020-12-12,7571000,시설팀(ERICA),신품,잉여물품
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000071,2020-12-12,7571000,시설팀(ERICA),중고품,불용결정
5611210226112769,"작업용의자, 에코우드, ECO-L003H, 610×680×1185mm",M202000072,2020-12-12,7571000,시설팀(ERICA),폐품,사용연한경과
