점검수리일자,물품고유번호,G2B_목록번호,G2B_목록명,운용부서,점검수리구분,처리결과,수리비용,장애심각도,비고
2006-10-29,M200600720,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),부품교체,주요수리,56000,3,노트북컴퓨터 부품교체
2006-11-11,M200600720,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,경미수리,23000,1,노트북컴퓨터 정기점검
2006-11-26,M200600720,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2006-12-01,M200600720,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,48000,2,노트북컴퓨터 수리
2008-07-01,M200600720,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,경미수리,9000,1,노트북컴퓨터 정기점검
2008-07-29,M200600720,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2008-12-05,M200600720,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2007-04-13,M200600721,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,16000,1,노트북컴퓨터 장애점검
2010-11-12,M200600721,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,경미수리,26000,1,노트북컴퓨터 정기점검
2012-12-10,M200600721,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,경미수리,24000,1,노트북컴퓨터 정기점검
2013-07-22,M200600721,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2013-10-14,M200600721,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,83000,2,노트북컴퓨터 수리
2014-10-01,M200600721,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,84000,2,노트북컴퓨터 수리
2016-08-17,M200600721,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,27000,1,노트북컴퓨터 장애점검
2019-07-21,M200600721,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),부품교체,주요수리,61000,3,노트북컴퓨터 부품교체
2019-11-17,M200600721,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,25000,1,노트북컴퓨터 장애점검
2023-08-01,M200600721,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2025-01-04,M200600721,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,55000,2,노트북컴퓨터 수리
2007-09-02,M200600722,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2008-06-09,M200600722,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2009-09-02,M200600722,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,46000,2,노트북컴퓨터 수리
2010-05-10,M200600722,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2011-11-12,M200600722,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,47000,2,노트북컴퓨터 수리
2013-12-28,M200600722,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,18000,1,노트북컴퓨터 장애점검
2015-04-07,M200600722,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,96000,2,노트북컴퓨터 수리
2015-07-10,M200600722,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,86000,2,노트북컴퓨터 수리
2016-02-03,M200600722,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,25000,1,노트북컴퓨터 장애점검
2020-01-26,M200600722,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,16000,0,노트북컴퓨터 장애점검
2022-11-06,M200600722,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),장애점검,경미수리,21000,1,노트북컴퓨터 장애점검
2023-04-15,M200600722,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,79000,2,노트북컴퓨터 수리
2007-01-23,M200600723,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2008-11-10,M200600723,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),수리,주요수리,52000,2,노트북컴퓨터 수리
2008-12-31,M200600723,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2007-02-01,M200600725,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2006-11-13,M200600726,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,정상,0,0,노트북컴퓨터 정기점검
2007-06-20,M200600726,4321150324343967,노트북컴퓨터,소프트웨어융합대학RC행정팀(ERICA),정기점검,경미수리,10000,1,노트북컴퓨터 정기점검
