G2B_목록번호,G2B_목록명,물품고유번호,취득일자,취득금액,처분방식,물품상태,사유,정리일자,불용일자,내용연수
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M202000004,2020-06-03,2101000,매각,정비필요품,수리비용과다,2020-06-05,2025-06-25,5
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M202000007,2020-06-03,2101000,매각,폐품,내구연한 경과,2020-06-05,2024-03-24,5
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M202000008,2020-06-03,2101000,매각,중고품,구형화,2020-06-05,2022-02-15,5
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201800009,2018-03-15,6661000,매각,폐품,내구연한 경과,2018-05-02,2023-10-28,10
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201800011,2018-03-15,6661000,도난,폐품,내구연한 경과,2018-05-02,2023-06-05,10
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201800012,2018-03-15,6661000,매각,정비필요품,수리비용과다,2018-05-02,2022-11-17,10
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201800013,2018-03-15,6661000,매각,정비필요품,수리비용과다,2018-05-02,2024-09-19,10
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201900019,2019-12-09,3912000,매각,정비필요품,수리비용과다,2020-01-22,2024-07-27,8
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201900022,2019-12-09,3912000,매각,폐품,내구연한 경과,2020-01-22,2023-11-01,8
4410160126057578,"종이절단기, Siser north america, (CN)Romeo, 920×180×200mm",M201900023,2019-12-09,3912000,매각,폐품,내구연한 경과,2020-01-22,2022-11-15,8
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202200026,2022-05-16,7552000,매각,폐품,내구연한 경과,2022-07-03,2024-05-16,10
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202200030,2022-05-16,7552000,매각,정비필요품,수리비용과다,2022-07-03,2024-02-24,10
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M202200031,2022-05-16,7552000,매각,중고품,구형화,2022-07-03,2024-06-09,10
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202000036,2020-11-10,4414000,매각,폐품,내구연한 경과,2021-01-09,2023-12-09,5
4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M202200040,2022-11-28,2922000,매각,폐품,내구연한 경과,2023-01-12,2024-09-12,5
4321190226108810,"액정모니터, 알파스캔디스플레이, (CN)16T20, 39.5cm",M201900050,2019-09-28,696000,매각,중고품,구형화,2019-09-30,2025-11-28,5
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M201700051,2017-12-07,937000,매각,중고품,구형화,2017-12-08,2020-05-06,6
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M202000057,2020-06-30,2526000,매각,폐품,내구연한 경과,2020-08-20,2024-04-15,6
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M202000059,2020-06-30,2526000,매각,중고품,구형화,2020-08-20,2023-01-06,6
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201700060,2017-07-16,4090000,매각,폐품,내구연한 경과,2017-07-22,2021-10-01,10
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201700062,2017-07-16,4090000,매각,폐품,내구연한 경과,2017-07-22,2025-09-05,10
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201700063,2017-07-16,4090000,매각,중고품,활용부서부재,2017-07-22,2020-07-27,10
5612179825656485,"칠판보조장, 정운시스템, JWBB18212, (부품)전자칠판거치판, 1800×235×1200mm",M201700064,2017-07-16,4090000,매각,폐품,내구연한 경과,2017-07-22,2024-07-17,10
4321171126101603,"스캐너, Kodak alaris, (CN)E1040, 600dpi",M202200070,2022-11-26,7806000,매각,정비필요품,수리비용과다,2022-12-01,2025-10-07,6
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202100076,2021-06-26,7632000,매각,중고품,활용부서부재,2021-07-26,2024-04-11,5
4321150726111329,"데스크톱컴퓨터, 한성컴퓨터, K15-5B71651V0, (내)Ultra 5 235(3.4GHz)/(외)Ultra 5 225(3.3GHz)",M202100077,2021-06-26,7632000,매각,폐품,내구연한 경과,2021-07-26,2024-10-02,5
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202000085,2020-10-15,6458000,매각,중고품,구형화,2020-12-06,2024-07-12,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202000087,2020-10-15,6458000,매각,폐품,내구연한 경과,2020-12-06,2025-04-16,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202000088,2020-10-15,6458000,매각,정비필요품,수리비용과다,2020-12-06,2024-11-07,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202000090,2020-10-15,6458000,매각,정비필요품,수리비용과다,2020-12-06,2022-03-27,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202000091,2020-10-15,6458000,매각,폐품,내구연한 경과,2020-12-06,2024-07-24,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202000093,2020-10-15,6458000,매각,폐품,내구연한 경과,2020-12-06,2025-06-13,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202000094,2020-10-15,6458000,매각,폐품,내구연한 경과,2020-12-06,2024-01-04,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202000103,2020-10-15,6458000,매각,중고품,구형화,2020-12-06,2022-08-16,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202000104,2020-10-15,6458000,매각,폐품,내구연한 경과,2020-12-06,2024-09-14,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202000106,2020-10-15,6458000,매각,폐품,내구연한 경과,2020-12-06,2024-03-19,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202000107,2020-10-15,6458000,매각,중고품,활용부서부재,2020-12-06,2022-12-22,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202000108,2020-10-15,6458000,매각,중고품,활용부서부재,2020-12-06,2024-07-07,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202000109,2020-10-15,6458000,매각,폐품,내구연한 경과,2020-12-06,2025-07-21,10
5611210824928465,"책걸상, 의자공장 플러스, PLU-PL01, 575×700×830mm",M202000115,2020-10-15,6458000,매각,중고품,구형화,2020-12-06,2023-09-05,10
4321210525911926,"레이저프린터, Ricoh, (CN)P 310, A4/흑백/32ppm",M201600164,2016-01-01,1984000,매각,중고품,구형화,2016-02-09,2024-01-02,5
4511160125414806,"포인터, 초이스테크놀로지, XPM180Y, 유효거리 50m",M201800171,2018-11-16,605000,매각,정비필요품,수리비용과다,2018-12-22,2023-09-16,5
