G2B_목록번호,G2B_목록명,캠퍼스,취득일자,취득금액,정리일자,운용부서,운용상태,내용연수,승인상태,취득정리구분,운용부서코드,비고,유효시작일자,유효종료일자,수량
4016160225676461,공기청정기,ERICA,2005-01-04,737000,2005-01-10,학생지원팀(ERICA),운용,9,확정,자체구입,A320,,2005-01-10,2099-12-31,1
4016160225676461,공기청정기,ERICA,2005-01-04,737000,2005-01-10,학생지원팀(ERICA),취득,9,확정,자체구입,A320,,2005-01-10,2005-01-09,1
4016160225676461,공기청정기,ERICA,2005-02-21,729000,2005-02-24,공학대학RC행정팀(ERICA),운용,9,확정,자체구입,C352,,2005-02-24,2099-12-31,1
4016160225676461,공기청정기,ERICA,2005-02-21,729000,2005-02-24,공학대학RC행정팀(ERICA),취득,9,확정,자체구입,C352,,2005-02-24,2005-02-23,1
4016160225676461,공기청정기,ERICA,2005-03-24,793000,2005-03-31,공학대학RC행정팀(ERICA),운용,9,확정,자체구입,C352,,2005-03-31,2099-12-31,1
4016160225676461,공기청정기,ERICA,2005-03-24,793000,2005-03-31,공학대학RC행정팀(ERICA),취득,9,확정,자체구입,C352,,2005-03-31,2005-03-30,1
4016160225676461,공기청정기,ERICA,2005-06-06,744000,2005-06-13,시설팀(ERICA),운용,9,확정,자체구입,A351,,2005-06-13,2099-12-31,1
4016160225676461,공기청정기,ERICA,2005-06-06,744000,2005-06-13,시설팀(ERICA),취득,9,확정,자체구입,A351,,2005-06-13,2005-06-12,1
4016160225676461,공기청정기,ERICA,2005-06-18,754000,2005-06-21,공학대학RC행정팀(ERICA),운용,9,확정,자체구입,C352,,2005-06-21,2099-12-31,1
4016160225676461,공기청정기,ERICA,2005-06-18,754000,2005-06-21,공학대학RC행정팀(ERICA),취득,9,확정,자체구입,C352,,2005-06-21,2005-06-20,1
4016160225676461,공기청정기,ERICA,2005-08-14,738000,2005-08-20,시설팀(ERICA),운용,9,확정,자체구입,A351,,2005-08-20,2099-12-31,1
4016160225676461,공기청정기,ERICA,2005-08-14,738000,2005-08-20,시설팀(ERICA),취득,9,확정,자체구입,A351,,2005-08-20,2005-08-19,1
4016160225676461,공기청정기,ERICA,2005-09-15,772000,2005-09-22,글로벌문화통상대학RC행정팀(ERICA),운용,9,확정,자체구입,C360,,2005-09-22,2099-12-31,1
