물품고유번호,Start_Date,End_Date,Is_Current,운용상태,사유,관리자
M200500001,2005-01-20,2005-01-29,False,취득,신규 취득,박대리
M200500001,2005-01-30,2009-01-25,False,운용,신규운용 승인 및 사용 시작,박대리
M200500001,2009-01-26,2009-04-06,False,불용,고장/파손,황팀장
M200500001,2009-04-07,2099-12-31,True,처분,폐기 완료,황팀장
M200500002,2005-01-20,2005-02-06,False,취득,신규 취득,박대리
M200500002,2005-02-07,2099-12-31,True,운용,신규운용 승인 및 사용 시작,박대리
M200500003,2005-01-20,2005-02-02,False,취득,신규 취득,박대리
M200500003,2005-02-03,2009-03-26,False,운용,신규운용 승인 및 사용 시작,박대리
M200500003,2009-03-27,2009-06-13,False,불용,노후화(성능저하),황팀장
M200500003,2009-06-14,2099-12-31,True,처분,폐기 완료,황팀장
M200500004,2005-01-20,2005-01-28,False,취득,신규 취득,박대리
M200500004,2005-01-29,2009-10-01,False,운용,신규운용 승인 및 사용 시작,박대리
M200500004,2009-10-02,2009-12-15,False,불용,고장/파손,황팀장
M200500004,2009-12-16,2099-12-31,True,처분,폐기 완료,황팀장
M200500005,2005-01-20,2005-02-11,False,취득,신규 취득,박대리
M200500005,2005-02-12,2008-03-30,False,운용,신규운용 승인 및 사용 시작,박대리
M200500005,2008-03-31,2008-05-20,False,불용,노후화(성능저하),황팀장
M200500005,2008-05-21,2099-12-31,True,처분,폐기 완료,황팀장
M200500006,2005-01-20,2005-01-29,False,취득,신규 취득,박대리
M200500006,2005-01-30,2009-06-21,False,운용,신규운용 승인 및 사용 시작,박대리
M200500006,2009-06-22,2009-09-10,False,불용,고장/파손,황팀장
M200500006,2009-09-11,2099-12-31,True,처분,폐기 완료,황팀장
M200500007,2005-01-20,2005-02-01,False,취득,신규 취득,박대리
M200500007,2005-02-02,2009-07-24,False,운용,신규운용 승인 및 사용 시작,박대리
M200500007,2009-07-25,2009-10-09,False,불용,수리비용과다,황팀장
M200500007,2009-10-10,2099-12-31,True,처분,폐기 완료,황팀장
M200500008,2005-01-20,2005-01-30,False,취득,신규 취득,박대리
